hostname,tic_id,mass,age_yr,feh,av,chi2_phot,chi2_prior,chi2_total,chi2_reduced,n_obs_bands,distance_pc,model_G,model_BP,model_RP,model_J,model_H,model_K,model_W1
HIP 65 A,201248411,0.7707904246809215,5029701229.736267,0.5,0.26683060819675686,13.055532695553778,0.14925082150570418,13.204783517059482,4.401594505686494,7,61.778804779052706,6.637187996397841,7.266208647113659,5.867207404364162,4.963355003696452,4.430440647931916,4.285468018977048,4.2328108422405535
HATS-34,355703913,0.9132287242784909,7354646764.75781,0.21977374741633549,0.030349764226772036,2.773948985422065,0.019019077218767354,2.7929680626408326,0.9309893542136108,7,504.788970947266,5.153697381296821,5.532451643651415,4.590451889143414,4.007004346503841,3.647852330738101,3.559590747230806,3.5290469632954395
WASP-96,160148385,0.9838095031085117,7985704730.018822,0.05690330301162848,0.16162073216712505,3.466926125295971,0.012713245909821553,3.4796393712057925,1.159879790401931,7,347.290679931641,4.671456465687414,5.027761047204701,4.142378653096807,3.564521880983473,3.258096283210817,3.176145353552563,3.147148078272149
TOI-198,12421862,1.4297068021235366,7943282.255597264,0.5,3.0,61068.21477613607,30.372668690678584,61098.58744482675,30549.293722413375,6,23.7636795043945,7.287429685153838,8.625989822636477,5.975580904895269,4.182320618570494,3.338337415749076,3.0187454214919986,2.9434002508711803
Gliese 12,52005579,0.6550969442944282,17477852.73932815,0.45414541419559473,3.0,40644.711920924485,10.84392056853981,40655.55584149303,20327.777920746514,6,12.1616277694702,9.876608880639289,11.692864743600234,8.253209093889877,6.177679866827417,5.243023376373305,4.829519461841098,-98.66489974529514
WASP-158,37718056,1.3800004100237575,2557027709.977124,0.07304948604893263,0.2650959477572597,0.8101509141142225,0.482449591786063,1.2926005059002854,0.4308668353000951,7,530.44921875,3.4566856401105017,3.74978470463801,3.006690407071545,2.5594461845250542,2.335905657202769,2.2618837360721913,2.232142991084391
HD 1397,394137592,1.32401083376316,3959041069.910587,0.5,0.34186688946419735,1.0189955401959851,1.2583229706984536,2.277318510894439,0.7591061702981463,7,79.9765625,3.089513194888946,3.480718230786052,2.536734779025198,1.9160864215925704,1.579561400449276,1.481693975617272,1.4503075137574617
TOI-6016,327369524,1.3100545823829142,1289953689.1447325,0.5,0.9364337977593756,56.51343613634147,98.04923066810579,154.56266680444725,51.52088893481575,7,359.214111328125,4.105314038001574,4.560751544727864,3.531144318160313,2.9273384775592732,2.6048044647675326,2.4827635182771086,2.4485673294728434
Qatar-4,440113053,0.8907497610512564,169984600.22934046,0.2609677642978904,0.22201927536264862,3.7152947483163947,0.024983751095656436,3.7402784994120513,1.246759499804017,7,323.455108642578,5.849616316240383,6.333575781058617,5.194289365069826,4.498544917517033,4.065946896318852,3.953515831517398,3.9191570792047736
WASP-1,57984377,1.2228313411594374,3351115123.329848,0.11734152392530357,0.19378186351138177,2.4025167778574366,0.009705820079604086,2.4122225979370406,0.8040741993123469,7,376.532501220703,3.6533424071487604,3.9523195435456624,3.1924245586035207,2.710391101274691,2.469762111906665,2.396200646884701,2.3670216822566914
HATS-30,281459670,1.0828960626309667,2237670343.9414973,0.10353198990526728,0.0,3.9293656507690926,0.004695030656838559,3.9340606814259313,1.3113535604753104,7,340.406768798828,4.419739398499456,4.7125799815363445,3.9490937675756195,3.446043708762192,3.181548398126772,3.113113100015162,3.0854624235835786
TOI-5322,336691874,1.052993195271298,9696007518.474289,0.3730514193337519,0.3138037780414839,1.8803885396825597,0.18031346897403175,2.0607020086565915,0.6869006695521972,7,472.886138916016,4.095592237605965,4.473958722385971,3.5533117204271765,2.9355682176470794,2.6116963285294057,2.518466554348013,2.4875712485767254
HATS-49,281541545,0.7237340902287809,10288771870.453192,0.2912859968583798,0.3440871355393532,1.196262794569001,0.018199758189557276,1.2144625527585582,0.4048208509195194,7,320.972869873047,7.003090657131249,7.715419238131879,6.172902537306889,5.1416851253379185,4.574315249947506,4.419465182004118,4.364874458331641
HATS-46,281541555,0.932802100626507,2683936390.804023,0.2026116208865735,0.0,5.2910055863686996,0.09186677050230488,5.382872356871005,1.7942907856236683,7,447.001861572266,5.266985359175024,5.648104358063037,4.69993791882916,4.123266623876557,3.7604655802139164,3.6723839513965926,3.6419299893621546
Qatar-5,190998418,1.1402593238755376,529999219.47817814,0.031080296009194177,0.4656345921948216,2.210501053421581,0.11981077070686671,2.3303118241284477,0.776770608042816,7,370.01824951171903,4.66788932049421,5.056684335167773,4.129712409407519,3.5138493615646067,3.22508964019318,3.1325147771945496,3.102317170311092
TOI-178,251848941,0.6814369264460831,5781238642.224798,-0.341511603863004,0.0,3.5422344792092053,0.015535000965378463,3.5577694801745836,1.1859231600581945,7,62.7974357604981,7.170357405576425,7.865389961105436,6.355502194828389,5.371482210708422,4.774095849155181,4.64633535213121,4.611383689547246
HD 2685,267263253,1.4299973243539172,3392005384.488253,-0.7394466494384662,0.0,9.233582240803848,38.07456562371446,47.30814786451831,15.769382621506104,7,196.966110229492,3.0671023058883895,3.2854999173623267,2.690795494191194,2.286616133205113,2.163867974379634,2.1237800260237565,2.0987877964288786
TOI-6029,419523962,1.5480139755295779,4327071377.554717,0.03512256403125968,0.8668958493202138,4.857150791903588,12.206604675409315,17.0637554673129,5.687918489104301,7,594.123229980469,3.3817630278478608,3.892143452687577,2.740513892612961,1.950642061174859,1.5940151025734228,1.4728136153338116,1.4404395814842754
HD 3167,318707987,0.8841186805888641,6912350006.975329,0.3808725299864064,0.0,4.709908466024485,0.1610276920040468,4.870936158028532,1.6236453860095106,7,47.2362174987793,5.4044167966545125,5.809337366608393,4.812111603741503,4.184709211584153,3.7879069922036113,3.691798144692819,3.658900036258877
WASP-93,240681314,1.333899444117546,3225641582.5440645,-0.24518311874401436,0.0,10.355185980022,15.197246688868518,25.552432668890518,8.51747755629684,7,367.69921875,3.1637063312822145,3.4004958438056634,2.759078309024612,2.3458775793225994,2.1672305385939534,2.1146111378961336,2.0881405038225034
HAT-P-19,267650535,0.8095372925407757,7947781786.944039,-0.18994544367835725,0.11836489953695074,1.8179811768319536,0.16165219678414638,1.9796333736161,0.6598777912053667,7,201.056442260742,6.030380186915774,6.551544564268763,5.347801253364945,4.576999010640053,4.128563595020872,4.0253463458678125,3.997822164852072
